0.8,0,116,67,65,112,0
0.942,0,72,16,21,314,0
0.789,0,174,87,90,266,0
0.403,0,160,81,78,66,0
0.461,0,209,107,109,242,0
0.454,0,172,95,110,42,0
0.848,0,199,88,89,148,0
0.93,0,163,95,70,164,0
0.37,0,214,114,102,102,0
0.525,0,188,94,91,170,0
0.605,0,215,109,107,188,0
0.991,0,166,55,53,314,0
0.984,0,237,142,128,314,0
0.692,0,208,113,134,206,0
0.885,0,206,116,119,314,0
0.582,0,219,121,116,190,0
0.874,0,61,27,25,140,0
0.716,0,174,84,77,152,0
0.602,0,209,100,95,150,0
0.832,0,209,104,86,204,0
0.454,0,160,68,91,128,0
0.577,0,201,104,98,116,0
0.848,0,197,111,124,312,0
0.916,0,199,96,113,298,0
0.908,0,162,73,74,168,0
0.726,0,185,82,89,194,0
0.613,0,228,138,128,256,0
0.73,0,125,51,59,168,0
0.613,0,168,115,82,96,0
0.0,0,132,82,77,52,0
0.19,0,130,81,70,60,0
0.531,0,160,88,83,78,0
0.927,0,41,11,12,308,0
0.769,0,111,60,46,72,0
0.921,0,214,113,99,306,0
0.584,0,216,122,128,126,0
0.289,0,217,130,128,280,0
0.81,0,204,100,98,188,0
0.987,0,208,120,132,314,0
0.917,0,214,114,110,314,0
0.513,0,192,96,98,164,0
0.576,0,183,81,88,194,0
0.676,0,216,120,91,200,0
0.0,0,122,75,56,24,0
0.63,0,9,2,2,252,0
0.524,0,165,76,73,228,0
0.626,0,224,121,112,162,0
0.938,0,207,103,100,248,0
0.8,0,207,111,98,262,0
0.816,0,142,90,73,82,0
0.579,0,212,99,109,208,0
0.995,0,209,113,116,314,0
0.732,0,189,107,83,196,0
0.233,0,132,57,49,18,0
0.514,0,193,98,102,96,0
0.584,0,210,103,94,108,0
0.949,0,82,20,18,314,0
0.591,0,193,105,116,266,0
0.569,0,120,69,46,86,0
0.793,0,228,135,135,314,0
0.996,0,151,44,46,314,0
0.474,0,88,36,38,28,0
0.994,0,216,126,122,314,0
1.0,0,214,129,115,314,0
0.745,0,203,102,90,134,0
0.624,0,183,87,93,108,0
0.535,0,137,68,73,50,0
0.703,0,230,130,126,210,0
0.178,0,200,100,100,248,0
0.899,0,222,122,126,212,0
0.0,0,219,148,123,52,0
0.996,0,99,35,36,314,0
0.0,0,70,40,41,6,0
0.696,0,209,106,105,266,0
0.634,0,177,103,79,154,0
0.464,0,180,101,97,238,0
0.795,0,196,97,100,264,0
0.817,0,175,88,94,268,0
0.759,0,150,60,69,162,0
0.709,0,220,120,100,148,0
0.539,0,188,109,95,142,0
0.814,0,212,117,122,314,0
0.993,0,189,88,93,314,0
0.614,0,209,109,98,168,0
0.651,0,206,101,94,160,0
0.169,0,210,109,102,106,0
0.826,0,107,59,33,58,0
0.848,0,178,70,65,246,0
0.503,0,116,58,64,82,0
0.755,0,164,76,92,216,0
0.831,0,206,113,93,234,0
0.748,0,150,87,80,30,0
0.339,0,210,118,106,228,0
0.686,0,100,53,55,100,0
0.458,0,183,82,89,296,0
0.109,0,171,95,91,68,0
0.762,0,219,113,123,208,0
0.847,0,173,85,53,122,0
0.797,0,164,78,79,134,0
0.404,0,212,111,117,244,0
0.782,0,169,76,80,88,0
0.864,0,188,78,78,168,0
0.241,0,138,90,72,78,0
0.969,0,208,119,123,314,0
0.426,0,186,120,102,192,0
0.0,0,145,84,96,16,0
0.994,0,156,50,47,314,0
0.0,0,148,95,83,46,0
0.813,0,6,3,2,182,0
0.755,0,193,98,97,300,0
0.007,0,235,140,117,122,0
0.903,0,174,93,79,162,0
0.946,0,44,11,11,314,0
0.891,0,195,132,89,184,0
0.786,0,217,113,113,314,0
0.975,0,211,121,120,314,0
0.0,0,177,111,106,14,0
0.579,0,202,107,125,276,0
0.628,0,162,70,79,192,0
0.986,0,191,108,110,314,0
0.751,0,168,83,84,132,0
0.934,0,116,70,64,198,0
0.0,0,171,121,94,42,0
0.843,0,105,54,53,48,0
0.911,0,62,14,19,308,0
0.89,0,200,97,89,178,0
0.0,0,158,79,100,28,0
0.641,0,147,75,75,90,0
0.417,0,192,87,94,148,0
0.996,0,177,72,67,314,0
0.731,0,190,87,74,172,0
0.476,0,158,89,85,68,0
0.818,0,95,52,42,60,0
0.661,0,179,83,79,204,0
0.996,0,192,107,103,314,0
0.819,0,85,39,46,96,0
0.663,0,210,114,116,314,0
0.934,0,176,80,81,280,0
0.599,0,165,75,76,304,0
0.738,0,225,126,129,292,0
0.0,0,24,13,14,58,0
0.431,0,171,87,95,118,0
0.7,0,168,72,70,240,0
0.741,0,161,107,80,142,0
0.895,0,194,106,120,112,0
0.928,0,228,140,132,314,0
0.608,0,189,89,90,156,0
0.427,0,202,140,113,212,0
0.402,0,221,121,120,212,0
0.768,0,142,93,80,48,0
0.75,0,227,125,118,234,0
0.69,0,180,95,98,290,0
0.997,0,145,48,48,314,0
0.35,0,184,88,77,154,0
0.799,0,177,81,72,178,0
0.86,0,232,131,124,218,0
0.601,0,91,52,60,124,0
0.757,0,179,81,87,246,0
0.979,0,222,133,128,314,0
0.708,0,106,67,58,60,0
0.674,0,208,108,96,302,0
0.825,0,139,76,68,52,0
0.577,0,213,104,108,252,0
0.853,0,81,38,32,64,0
0.571,0,205,106,115,260,0
1.0,0,113,28,32,314,0
0.466,0,9,1,2,236,0
0.844,0,199,96,110,278,0
0.814,0,141,86,71,132,0
0.062,0,150,94,75,76,0
0.479,0,6,1,1,264,0
0.832,0,207,105,110,182,0
0.746,0,147,104,72,128,0
0.533,0,122,67,61,30,0
0.689,0,206,103,89,186,0
0.835,0,118,74,59,50,0
0.0,0,134,94,74,90,0
0.052,0,197,104,98,186,0
0.775,0,10,1,2,290,0
0.0,0,134,86,60,66,0
0.577,0,187,100,85,196,0
0.686,0,92,40,42,36,0
0.37,0,133,88,75,88,0
0.983,0,218,123,115,314,0
0.989,0,155,51,53,314,0
0.619,0,179,81,87,280,0
0.858,0,149,73,63,138,0
0.574,0,123,45,26,26,0
0.705,0,231,136,131,212,0
0.245,0,209,110,115,258,0
0.401,0,174,83,78,228,0
0.719,0,222,122,124,212,0
0.687,0,10,2,3,296,0
0.596,0,204,108,126,266,0
0.385,0,195,106,109,34,0
0.792,0,205,109,121,314,0
0.689,0,205,100,119,184,0
0.864,0,202,127,63,184,0
0.752,0,200,107,123,276,0
0.008,0,191,89,101,86,0
0.396,0,150,90,73,90,0
0.508,0,229,133,143,272,0
0.697,0,195,95,95,172,0
0.651,0,176,95,95,312,0
0.986,0,122,43,47,314,0
0.731,0,184,78,90,250,0
0.993,0,178,66,76,314,0
0.0,0,152,104,87,46,0
0.636,0,140,86,70,58,0
0.0,0,135,97,79,22,0
0.863,0,185,82,80,166,0
0.698,0,171,89,96,276,0
0.0,0,233,137,149,116,0
0.131,0,149,66,68,92,0
0.748,0,4,1,1,124,0
0.0,0,126,76,81,4,0
0.856,0,219,117,110,158,0
0.645,0,206,108,98,170,0
0.78,0,226,119,123,100,0
0.923,0,204,106,95,224,0
0.833,0,202,102,103,220,0
0.219,0,225,114,92,228,0
0.884,0,64,17,17,298,0
0.715,0,232,128,115,194,0
0.803,0,183,112,93,132,0
0.913,0,153,80,68,160,0
0.939,0,205,93,106,210,0
0.784,0,200,113,123,190,0
0.78,0,194,95,103,268,0
0.684,0,139,63,64,76,0
0.998,0,152,51,55,314,0
0.986,0,147,58,64,312,0
0.957,0,180,92,109,314,0
0.886,0,226,113,107,206,0
0.479,0,213,122,115,252,0
0.622,0,194,99,99,122,0
0.567,0,231,125,98,160,0
0.0,0,172,113,98,10,0
0.837,0,170,93,105,98,0
0.642,0,195,95,107,262,0
0.899,0,207,116,105,314,0
0.153,0,190,91,90,140,0
0.828,0,146,67,73,60,0
0.018,0,211,113,101,150,0
0.705,0,183,89,98,164,0
0.55,0,200,88,85,194,0
0.55,0,214,113,118,224,0
0.116,0,148,77,74,66,0
0.604,0,152,96,71,164,0
0.999,0,166,59,52,314,0
0.903,0,211,117,125,314,0
0.833,0,181,83,81,172,0
0.862,0,11,2,4,216,0
0.993,0,207,99,99,314,0
0.759,0,144,83,70,96,0
0.0,0,142,84,89,22,0
0.875,0,199,98,91,166,0
0.866,0,212,118,131,270,0
0.924,0,164,93,66,130,0
0.997,0,217,126,113,314,0
0.706,0,220,112,103,148,0
0.838,0,132,71,53,76,0
0.937,0,182,82,100,300,0
0.388,0,192,94,85,122,0
0.692,0,211,111,113,210,0
0.897,0,196,111,124,314,0
0.874,0,91,51,34,28,0
0.609,0,156,90,77,128,0
0.753,0,155,61,64,226,0
0.5,0,138,77,50,44,0
0.718,0,159,93,84,106,0
0.0,0,32,19,18,38,0
0.0,0,160,100,94,136,0
0.0,0,141,106,81,234,0
0.856,0,210,108,105,304,0
0.0,0,80,51,48,10,0
0.801,0,170,82,80,294,0
0.0,0,197,127,116,14,0
0.756,0,195,91,104,266,0
0.79,0,167,73,77,158,0
0.923,0,204,112,120,314,0
0.0,0,158,90,100,224,0
0.87,0,156,64,67,210,0
0.758,0,165,90,92,58,0
0.472,0,131,67,74,222,0
0.743,0,180,117,97,156,0
0.935,0,22,9,10,216,0
0.0,0,109,62,54,8,0
0.748,0,188,99,106,314,0
0.869,0,3,1,1,306,0
0.704,0,180,85,87,268,0
0.689,0,139,63,80,102,0
0.996,0,186,102,110,314,0
0.974,0,191,85,85,280,0
0.413,0,123,69,68,90,0
0.486,0,166,75,81,224,0
0.523,0,208,114,115,300,0
0.988,0,160,50,64,314,0
0.413,0,181,80,89,128,0
0.196,0,210,120,132,240,0
0.997,0,188,68,91,314,0
0.614,0,204,108,105,270,0
0.347,0,191,100,98,164,0
0.0,0,124,75,72,52,0
0.827,0,202,96,110,218,0
0.0,0,88,46,45,0,0
0.424,0,219,126,110,244,0
0.76,0,196,91,92,198,0
0.612,0,125,63,56,236,0
0.824,0,212,101,116,300,0
0.8,0,14,3,4,314,0
0.92,0,193,95,92,234,0
0.957,0,205,118,128,314,0
0.485,0,195,101,121,236,0
0.03,0,188,95,92,206,0
0.82,0,167,103,77,136,0
0.807,0,17,4,3,312,0
0.753,0,200,102,99,212,0
0.983,0,211,119,112,314,0
0.78,0,176,99,92,110,0
0.994,0,201,105,99,314,0
0.934,0,84,23,28,314,0
0.995,0,197,100,103,314,0
0.767,0,171,112,79,150,0
0.011,0,162,77,87,150,0
0.529,0,173,83,78,82,0
0.728,0,193,98,99,188,0
0.776,0,188,85,91,214,0
0.481,0,198,104,98,100,0
0.998,0,176,51,69,314,0
0.611,0,133,70,46,62,0
0.993,0,231,131,129,314,0
0.752,0,208,122,104,194,0
0.572,0,178,86,79,178,0
0.86,0,94,55,49,94,0
0.627,0,220,122,118,102,0
0.645,0,224,127,123,286,0
0.092,0,90,52,58,66,0
0.608,0,215,108,114,264,0
0.638,0,178,99,94,134,0
0.781,0,203,105,104,274,0
0.909,0,226,123,108,120,0
0.315,0,187,89,95,126,0
0.753,0,192,92,91,208,0
0.402,0,177,97,100,96,0
0.759,0,194,92,90,166,0
0.414,0,222,116,124,282,0
0.812,0,227,125,125,142,0
0.516,0,134,82,68,62,0
0.658,0,211,115,109,288,0
0.848,0,190,110,92,204,0
0.74,0,223,120,102,192,0
0.466,0,204,102,109,230,0
0.0,0,113,68,74,8,0
0.811,0,137,65,51,64,0
0.035,0,157,91,90,122,0
0.832,0,223,125,111,314,0
0.53,0,107,55,51,94,0
0.848,0,153,61,52,96,0
0.758,0,224,129,131,244,0
0.996,0,202,111,114,314,0
0.839,0,221,125,138,264,0
0.315,0,147,91,71,28,0
0.594,0,206,109,116,224,0
0.785,0,178,112,90,170,0
0.779,0,225,123,115,170,0
0.854,0,3,1,1,312,0
0.0,0,79,29,33,38,0
0.835,0,204,90,98,294,0
0.927,0,132,66,42,68,0
0.0,0,148,94,86,22,0
0.42,0,168,95,71,100,0
0.731,0,214,105,96,124,0
0.27,0,126,85,71,48,0
0.772,0,190,87,97,260,0
0.841,0,206,98,96,212,0
0.775,0,191,97,106,262,0
0.456,0,193,92,91,114,0
0.991,0,212,121,118,314,0
0.858,0,4,1,1,164,0
0.996,0,167,55,54,314,0
0.838,0,4,3,2,122,0
0.023,0,176,105,109,98,0
0.988,0,224,140,126,314,0
0.101,0,172,89,76,104,0
0.82,0,209,123,121,314,0
0.0,0,187,89,78,76,0
0.492,0,169,81,79,218,0
0.0,0,152,81,99,218,0
0.846,0,152,78,82,50,0
0.779,0,169,110,84,182,0
0.939,0,51,14,17,314,0
0.606,0,203,101,108,166,0
0.82,0,191,102,90,114,0
0.662,0,120,71,63,64,0
0.0,0,95,59,54,52,0
0.594,0,231,133,124,274,0
0.766,0,143,94,67,58,0
0.856,0,170,74,66,248,0
0.157,0,164,73,76,98,0
0.513,0,192,104,111,262,0
0.938,0,109,32,36,314,0
0.842,0,164,73,72,272,0
0.85,0,188,92,90,124,0
0.79,0,224,122,129,220,0
1.0,0,207,113,103,314,0
0.482,0,171,85,73,76,0
0.758,0,182,85,92,102,0
0.884,0,183,85,76,170,0
0.77,0,171,97,87,180,0
0.531,0,234,134,114,180,0
0.546,0,190,85,82,232,0
0.69,0,162,80,91,164,0
0.726,0,131,83,68,18,0
0.301,0,6,3,3,232,0
0.0,0,159,111,89,68,0
0.0,0,86,47,52,60,0
0.885,0,206,109,112,314,0
0.564,0,148,76,68,52,0
0.435,0,170,95,105,58,0
0.771,0,185,94,113,128,0
0.927,0,182,95,100,314,0
0.859,0,192,90,96,232,0
1.0,0,150,50,44,314,0
0.827,0,199,88,78,154,0
0.996,0,211,111,109,314,0
0.485,0,175,99,111,262,0
0.145,0,216,122,107,234,0
0.996,0,210,116,126,314,0
0.701,0,184,92,107,156,0
0.999,0,241,148,133,314,0
0.796,0,148,70,75,188,0
0.002,0,225,122,131,184,0
0.661,0,223,119,102,128,0
0.722,0,211,110,106,280,0
0.69,0,200,114,102,302,0
0.0,0,112,68,36,82,0
0.469,0,166,94,79,120,0
0.773,0,220,125,115,288,0
0.793,0,200,98,102,276,0
0.05,0,116,60,53,90,0
0.756,0,134,72,67,82,0
0.687,0,166,112,89,216,0
0.975,0,230,133,127,312,0
0.724,0,152,92,79,226,0
0.946,0,188,86,100,296,0
0.989,0,118,43,48,314,0
0.837,0,221,120,118,110,0
0.646,0,218,118,117,234,0
0.329,0,214,130,125,242,0
0.0,0,125,81,68,50,0
0.764,0,107,57,57,60,0
0.619,0,149,75,68,150,0
0.874,0,125,65,60,128,0
0.0,0,159,106,86,98,0
0.78,0,207,110,104,182,0
0.791,0,231,141,130,300,0
0.0,0,35,21,24,10,0
0.44,0,194,97,92,228,0
0.864,0,213,108,133,250,0
0.803,0,161,90,89,172,0
0.026,0,211,116,109,88,0
0.845,0,4,1,1,304,0
